id,station,name,type,logo,genre,broadcaster,language,country,region,bitrate,format,geo_fenced,home_page,monitor
28,http://as-hls-ww-live.akamaized.net/pool_904/live/ww/bbc_6music/bbc_6music.isml/bbc_6music-audio%3d96000.norewind.m3u8,"BBC Radio 6 music",r,local,"Alternative, Rock, Funk",BBC,English,"United Kingdom",Europe,96,AAC-LC,No,"",No
29,http://as-hls-uk-live.akamaized.net/pool_904/live/uk/bbc_6music/bbc_6music.isml/bbc_6music-audio%3d320000.norewind.m3u8,"BBC Radio 6 music (320K)",r,local,"Alternative, Rock, Funk",BBC,English,"United Kingdom",Europe,320,AAC-LC,Yes,"",No
30,https://dispatcher.rndfnk.com/br/brklassik/live/mp3/high,BR-Klassik,r,local,Classical,"Bayern Radio",German,Germany,Europe,192,MP3,No,"",No
31,https://legacy.scahw.com.au/2buddha_32,"Buddha Radio",r,local,"Chill Out",Buddah,English,Australia,Asia,32,MP3,No,"",No
32,https://bytefm.cast.addradio.de/bytefm/main/high/stream,ByteFM,r,local,Eclectic,Alsterradio,German,Germany,Europe,192,MP3,No,https://www.byte.fm/,No
33,http://msmn7.co:8018/stream,CDNX,r,local,Alternative,"Camden Market",English,"United Kingdom",Europe,256,MP3,No,"",No
34,http://media-ice.musicradio.com/ClassicFMMP3,"Classic FM",r,local,Classical,"Global Radio",English,"United Kingdom",Europe,128,MP3,No,"",No
35,https://rozhlas.stream/ddur_mp3_256.mp3,"Czech Radio Classical",r,local,Classical,"ČRo D-Dur",Czech,"Czech Republic",Europe,256,MP3,No,"",No
36,http://stream.dandelionradio.com:9414,"Dandelion Radio",r,local,Alternative,"Dandelion Radio",English,"United Kingdom",Europe,128,MP3,No,"",No
37,https://streaming04.liveboxstream.uk/proxy/davideof?mp=/stream,"Davide of MIMIC",f,local,Classical,"Davide of MIMIC Radio",English,"United Kingdom",Europe,320,MP3,No,"",No
38,http://live-icy.dr.dk/A/A03H.mp3,"DR P1",r,local,"News, Talk",DR,Danish,Denmark,Europe,192,MP3,No,"",No
39,http://live-icy.dr.dk/A/A04H.mp3,"DR P2",r,local,"Eclectic, Music, Culture",DR,Danish,Denmark,Europe,192,MP3,No,"",No
40,http://live-icy.dr.dk/A/A05H.mp3,"DR P3",r,local,"Pop, Rock",DR,Danish,Denmark,Europe,192,MP3,No,"",No
41,http://live-icy.dr.dk/A/A08H.mp3,"DR P4",r,local,"Pop, News",DR,Danish,Denmark,Europe,192,MP3,No,"",No
42,http://live-icy.dr.dk/A/A29H.mp3,"DR P6 Beat",r,local,"Alternative, Alt Rock, Rock",DR,Danish,Denmark,Europe,192,MP3,No,"",No
43,http://live-icy.dr.dk/A/A22H.mp3,"DR P8 Jazz",r,local,Jazz,DR,Danish,Denmark,Europe,192,MP3,No,"",No
44,https://DRliveradio.akamaized.net/hls/live/2022411/p8jazz/playlist-320000.m3u8,"DR P8 Jazz (320K)",r,local,Jazz,DR,Danish,Denmark,Europe,320,AAC,No,"",No
45,http://81.92.238.33:80,Eldoradio,r,local,"Pop, Top 40, Chart",Eldoradio,Luxembourgish,Luxembourg,Europe,256,MP3,No,"",No
46,https://fluxmusic.api.radiosphere.io/channels/FluxFM/stream.aac?quality=4,"FluxFM - Livestream",f,local,"News, Various Genres",FluxFM,German,Germany,Europe,64,AAC,No,"",No
47,http://streams.fluxfm.de/flx_2000/mp3-320/streams.fluxfm.de/,"FluxFM - 2000's Naughty",r,local,"2000's",FluxFM,German,Germany,Europe,320,MP3,No,"",No
48,https://streams.fluxfm.de/60er/mp3-320/streams.fluxfm.de/,"FluxFM - 60s",r,local,60s,FluxFM,German,Germany,Europe,320,MP3,No,"",No
49,http://streams.fluxfm.de/70er/mp3-320/audio/,"FluxFM - 70s",r,local,70s,FluxFM,German,Germany,Europe,320,MP3,No,"",No
50,http://streams.fluxfm.de/80er/mp3-320/streams.fluxfm.de/,"FluxFM - 80s",r,local,80s,FluxFM,German,Germany,Europe,320,MP3,No,"",No
51,https://fluxmusic.api.radiosphere.io/channels/90s/stream.aac?quality=4,"FluxFM - 90s",r,local,90s,FluxFM,German,Germany,Europe,64,AAC,No,"",No
52,http://streams.fluxfm.de/event01/mp3-320/streams.fluxfm.de/,"FluxFM - B-Funk",r,local,Funk,FluxFM,German,Germany,Europe,320,MP3,No,"",No
53,https://streams.fluxfm.de/bbeachhouse/mp3-320/streams.fluxfm.de/,"FluxFM - Berlin Beach House Radio",r,local,Electronica,FluxFM,German,Germany,Europe,320,MP3,No,"",No
54,http://streams.fluxfm.de/boomfm/mp3-320/audio/,"FluxFM - BoomFM",r,local,HipHop,FluxFM,German,Germany,Europe,320,MP3,No,"",No
55,http://streams.fluxfm.de/boomfmclassics/mp3-320/audio/,"FluxFM - BoomFM Classics",r,local,"HipHop, Oldschool",FluxFM,German,Germany,Europe,320,MP3,No,"",No
56,https://streams.fluxfm.de/Chillhop/mp3-320/streams.fluxfm.de/,"FluxFM - ChillHop",r,local,"Chill Out, Laidback",FluxFM,German,Germany,Europe,320,MP3,No,"",No
57,https://streams.fluxfm.de/chillout/mp3-320/streams.fluxfm.de/,"FluxFM - Chillout Radio",r,local,"Chill Out, Laidback",FluxFM,German,Germany,Europe,320,MP3,No,"",No
58,https://streams.fluxfm.de/clubsandwich/mp3-320/streams.fluxfm.de/,"FluxFM - Clubsandwich",r,local,Electronica,FluxFM,German,Germany,Europe,320,MP3,No,"",No
59,http://streams.fluxfm.de/dubradio/mp3-320/streams.fluxfm.de/,"FluxFM - Dub Radio",r,local,"Dub, Reggae",FluxFM,German,Germany,Europe,320,MP3,No,"",No
60,https://streams.fluxfm.de/elektro/mp3-320/streams.fluxfm.de/,"FluxFM - ElectroFlux",r,local,"Electronica, Pop",FluxFM,German,Germany,Europe,320,MP3,No,"",No
61,http://streams.fluxfm.de/forward/mp3-320/audio/,"FluxFM - FluxForward",r,local,"Various Genres, Releases",FluxFM,German,Germany,Europe,320,MP3,No,"",No
62,https://streams.fluxfm.de/fluxkompensator/mp3-320/streams.fluxfm.de/,"FluxFM - FluxKompensator",r,local,"Various Genres",FluxFM,German,Germany,Europe,320,MP3,No,"",No
63,https://streams.fluxfm.de/lounge/mp3-320/streams.fluxfm.de/,"FluxFM - FluxLounge",r,local,"Lounge, Neo-Soul, Trip-Hop, Jazz",FluxFM,German,Germany,Europe,320,MP3,No,"",No
64,https://streams.fluxfm.de/flux-hamburg/mp3-320/audio/,"FluxFM - Hamburg",r,local,"Pop, Culture",FluxFM,German,Germany,Europe,320,MP3,No,"",No
65,https://fluxmusic.api.radiosphere.io/channels/htgp/stream.mp3?quality=4,"FluxFM - Hippie Trippy Garden Pretty",r,local,"Electronica, Soundscape, Atmospheric",FluxFM,German,Germany,Europe,64,AAC,No,"",No
66,https://streams.fluxfm.de/indiedisco/mp3-320/streams.fluxfm.de/,"FluxFM - Indie Disco",r,local,"Indie, Disco, Dance",FluxFM,German,Germany,Europe,320,MP3,No,"",No
67,http://streams.fluxfm.de/studio56/mp3-320/audio/,"FluxFM - JaegerMusic Radio",r,local,"Various Genres",FluxFM,German,Germany,Europe,320,MP3,No,"",No
68,https://streams.fluxfm.de/jazzschwarz/mp3-320/streams.fluxfm.de/,"FluxFM - Jazzradio Schwarzenstein",r,local,Jazz,FluxFM,German,Germany,Europe,320,MP3,No,"",No
69,https://streams.fluxfm.de/john-reed/mp3-320/streams.fluxfm.de/,"FluxFM - John Reed Radio",r,local,"Various Genres",FluxFM,German,Germany,Europe,320,MP3,No,"",No
70,https://streams.fluxfm.de/klubradio/mp3-320/streams.fluxfm.de/,"FluxFM - Klubradio",r,local,Electronica,FluxFM,German,Germany,Europe,320,MP3,No,"",No
71,https://streams.fluxfm.de/Melides/mp3-320/streams.fluxfm.de/,"FluxFM - Melides Art Radio",r,local,"Indie, Eclectic",FluxFM,German,Germany,Europe,320,MP3,No,"",No
72,http://streams.fluxfm.de/metalfm/mp3-320/streams.fluxfm.de/,"FluxFM - MetalFM",r,local,Metal,FluxFM,German,Germany,Europe,320,MP3,No,"",No
73,https://fluxmusic.api.radiosphere.io/channels/mini-flux/stream.aac?quality=4,"FluxFM - Mini Flux",r,local,"Various Genres",FluxFM,German,Germany,Europe,64,AAC,No,"",No
74,http://streams.fluxfm.de/neofm/mp3-320/streams.fluxfm.de/,"FluxFM - neoFM",r,local,"Classical, Contemporary",FluxFM,German,Germany,Europe,320,MP3,No,"",No
75,http://streams.fluxfm.de/passport/mp3-320/audio/,"FluxFM - Passport Approved",r,local,"Various Genres",FluxFM,German,Germany,Europe,320,MP3,No,"",No
